score,SMILES,Name,idx,cycle
0.859,COC(=O)c1ccc2nc([C@@H](N)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895146,25,4
0.854,COC(=O)c1ccc2nc(CNC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1464311,25,4
0.854,COC(=O)c1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895446,25,4
0.852,COC(=O)c1ccc2nc([C@@H](N)CNC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1531037,25,4
0.85,COC(=O)c1ccc2nc([C@@H](C)OC(=O)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_59569926,25,4
0.848,COC(=O)c1ccc2nc([C@@H](N)CCC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1532526,25,4
0.845,COC(=O)c1ccc2nc(CCNC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1637970,25,4
0.841,COC(=O)c1ccc2nc(CNCCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1733659,25,4
0.841,CN(CCO)Cc1nc2nsnc2c(=O)n1C1CN(CCO)C1,17327931_82601602_11862698,25,4
0.84,COC(=O)c1ccc2nc([C@@H](CO)NC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_158174,25,4
0.84,COC(=O)c1ccc2nc(C[C@H](N)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1709620,25,4
0.839,COC(=O)c1ccc2nc(C[C@H](O)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_14585673,25,4
0.839,COC(=O)c1ccc2nc([C@@H](N)COC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1529574,25,4
0.834,COC(=O)c1ccc2nc([C@H]3CNC[C@H]3CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_4203974,25,4
0.832,COC(=O)c1ccc2nc([C@@H](N)CC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1532556,25,4
0.832,COC(=O)c1ccc2nc(Cn3nnc(N)n3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_4294607,25,4
0.829,COC(=O)c1ccc2nc(C[C@H](N)C(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2516163,25,4
0.828,COC(=O)c1ccc2nc(CC[C@@H](N)C(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2560808,25,4
0.827,Cn1nnc(-n2c([C@@H](N)CCO)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_895146,25,4
0.826,COC(=O)c1ccc2nc(C(CN)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_114812654,25,4
0.82,COC(=O)c1ccc2nc([C@@H](N)COC(C)=O)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_895446,25,4
0.819,COC(=O)c1ccc2nc([C@@H](N)CCN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_52986906,25,4
0.818,CN(CCO)Cc1nc2nncnc2c(=O)n1C1CN(CCO)C1,39083028_82601602_11862698,25,4
0.816,COC(=O)c1ccc2nc(CCNC(=N)N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_901626,25,4
0.814,COC(=O)c1ccc2nc([C@]3(O)C[C@H](O)C3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1083812835,25,4
0.812,N[C@H](CO)c1nc2nonc2c(=O)n1-c1ncn(CCO)n1,967421_19088805_895342,25,4
0.811,COC(=O)c1ccc2nc(Cc3n[nH]c(=O)[nH]3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_19089113,25,4
0.81,COC(=O)c1ccc2nc([C@@H]3CN(C)CCN3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_23094286,25,4
0.81,COC(=O)c1ccc2nc(CC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_901948,25,4
0.81,COC(=O)c1ccc2nc([C@H](N)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1742215,25,4
0.81,COC(=O)c1ccc2nc(C[C@@H](O)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_14585674,25,4
0.809,COC(=O)c1ccc2nc(Cc3nnn[nH]3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_5178980,25,4
0.808,COC(=O)c1ccc2nc([C@@H](C)OC(=O)CO)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_59569926,25,4
0.808,COC(=O)c1ccc2nc(CNC(=N)N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895314,25,4
0.808,COC(=O)c1ccc2nc([C@@H](N)CN(C)C)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_19366520,25,4
0.808,COC(=O)c1ccc2nc(Cn3cnnn3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_967442,25,4
0.807,CC(=O)Nc1ccc2nc(CCNC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,4640612_16954943_1637970,25,4
0.807,COc1ccc2nc(CNCCO)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1733659,25,4
0.807,O=c1c2nsnc2nc(CNCCO)n1C1CN(CCO)C1,17327931_82601602_1733659,25,4
0.806,COC(=O)c1ccc2nc([C@@H](CN)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_12502811,25,4
0.806,COC(=O)c1ccc2nc(Cc3n[nH]c(=O)[nH]3)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_19089113,25,4
0.805,Cn1nnc(-n2c(Cc3n[nH]c(=O)[nH]3)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_19089113,25,4
0.804,NCC(=O)NCCc1nc2ccnnc2c(=O)n1C1CN(CCO)C1,19854095_82601602_1637970,25,4
0.803,COC(=O)c1ccc2nc(Cn3ncnn3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_31319659,25,4
0.802,COC(=O)c1ccc2nc(C[C@@H](O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_901811,25,4
0.801,COC(=O)c1ccc2nc(CNC3=NCCN3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1592098,25,4
0.801,CC(=O)OC[C@@H](N)c1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_1747043,25,4
0.801,COC(=O)c1ccc2nc(C[C@@H](N)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2560988,25,4
0.8,COC(=O)c1ccc2nc([C@@H](C)NC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1605215,25,4
0.8,O=CNCc1nc2nonc2c(=O)n1-c1ncn(CCO)n1,967421_19088805_1733657,25,4
0.799,COC(=O)c1ccc2nc(CN(C)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_11862698,25,4
0.799,COc1ccc2nc([C@@H](N)CNC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1531037,25,4
0.799,COC(=O)c1ccc2nc([C@@H](O)CCN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2019611,25,4
0.799,O=c1c2cncnc2nc(CNCCO)n1C1CN(CCO)C1,967326_82601602_1733659,25,4
0.798,COC(=O)c1ccc2nc([C@@H](C)OC(=O)CO)n(C(=O)CO)c(=O)c2c1,14985552_4692578_59569926,25,4
0.797,N=C(N)NCCc1nc2nsnc2c(=O)n1-c1ncn(CCO)n1,17327931_19088805_901626,25,4
0.797,COc1ccc2nc([C@@H](N)CC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1532556,25,4
0.797,COC(=O)c1ccc2nc(C[C@@H](N)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_4181821,25,4
0.797,COC(=O)c1ccc2nc([C@@H]3C[C@@H](N)CN3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_95831405,25,4
0.797,COc1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_895446,25,4
0.797,COC(=O)c1ccc2nc(Cn3cnnc3N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_227173267,25,4
0.796,Cn1nnc(-n2c([C@@H](O)CCN)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_2019611,25,4
0.796,COC(=O)c1ccc2nc([C@H]3CNCC(=O)N3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_38540696,25,4
0.796,CC(=O)OC[C@@H](N)c1nc2ccnnc2c(=O)n1C1CN(CCO)C1,19854095_82601602_1747043,25,4
0.796,NC(=O)Cc1nc2nncnc2c(=O)n1-c1nnn(CC(=O)O)n1,39083028_4294607_901948,25,4
0.796,COc1cccc2c(=O)n(-c3ncn(CCO)n3)c(C(O)O)nc12,389612_19088805_6660936,25,4
0.795,COC(=O)c1ccc2nc(CNC(N)=O)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_1464311,25,4
0.794,Cn1nnc(-n2c([C@@H](N)CCN)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_52986906,25,4
0.794,COC(=O)c1ccc2nc([C@H]3CNCCN3C)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_89223304,25,4
0.794,COC(=O)c1ccc2nc([C@H](N)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895342,25,4
0.794,COC(=O)[C@@H](N)Cc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_1709620,25,4
0.793,O=c1c2ncnnc2nc(CNCCO)n1C1CN(CCO)C1,39083028_82601602_1733659,25,4
0.793,NC(=O)CC[C@@H](N)c1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_1532609,25,4
0.792,CC(=O)OC[C@H](N)c1nc2ccc(C(=O)O)cc2c(=O)n1-c1nnn(C)n1,33494531_16954943_895446,25,4
0.792,CC(=O)Nc1ccc2nc([C@@H](N)COC(C)=O)n(-c3ncn(CCO)n3)c(=O)c2c1,4640612_19088805_895446,25,4
0.792,Cn1nnc2nc(CNCCO)n(C3CN(CCO)C3)c(=O)c21,104643604_82601602_1733659,25,4
0.792,COC(=O)c1ccc2nc([C@@H](N)[C@H](C)O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1747072,25,4
0.792,COC(=O)c1ccc2nc(CN3CCNCC3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_19735199,25,4
0.792,N[C@H](CO)c1nc2nncnc2c(=O)n1-c1ncn(CCO)n1,39083028_19088805_895342,25,4
0.791,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(-c3ncn(CCO)n3)c(=O)c2c1,4640612_19088805_2559503,25,4
0.791,CC(=O)Nc1ccc2nc(CNC3=NCCN3)n(C[C@@H](O)c3nnn(C)n3)c(=O)c2c1,4640612_1225225_1592098,25,4
0.791,CN(CCO)Cc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_11862698,25,4
0.791,COC(=O)c1ccc2nc([C@@H](O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2034711,25,4
0.791,O=CNCc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_1733657,25,4
0.79,COC(=O)c1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(CC(=O)O)n3)c(=O)c2c1,14985552_4294607_895446,25,4
0.79,COc1ccc2nc([C@@H](O)CCO)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_2559503,25,4
0.79,Cn1nnc(-n2c(Cc3n[nH]c(=O)[nH]3)nc3ncc(C(=O)O)cc3c2=O)n1,4202689_16954943_19089113,25,4
0.79,COc1ccc2nc(CCNC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1637970,25,4
0.789,COC(=O)c1ccc2nc([C@@H](N)CNC(=N)N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2384694,25,4
0.789,CN(CCO)Cc1nc2nonc2c(=O)n1-c1ncn(CCO)n1,967421_19088805_11862698,25,4
0.789,Cn1nnc(-n2c([C@@H](O)CCO)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_2559503,25,4
0.789,COC(=O)c1ccc2nc([C@@H](N)CCC(N)=O)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_1532526,25,4
0.789,NC(=O)Cc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_901948,25,4
0.788,CC(=O)Nc1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,4640612_16954943_895446,25,4
0.788,Cn1nnc(-n2c([C@@H](N)COC(N)=O)nc3ncc(C(=O)O)cc3c2=O)n1,4202689_16954943_1529574,25,4
0.788,NC(=O)CC[C@@H](N)c1nc2nsnc2c(=O)n1C1CN(CCO)C1,17327931_82601602_1532609,25,4
0.788,NC[C@@H](N)c1nc2nncnc2c(=O)n1-c1nnn(CC(=O)O)n1,39083028_4294607_19363627,25,4
0.788,Cn1nnc(-n2c(CNC=O)nc3ncc(C(=O)O)cc3c2=O)n1,4202689_16954943_1733657,25,4
0.884,COC(=O)c1ccc2nc([C@@H](O)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2559503,25,5
0.862,COC(=O)c1ccc2nc(CNC=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1733657,25,5
0.859,COC(=O)c1ccc2nc([C@@H](N)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895146,25,5
0.854,COC(=O)c1ccc2nc(CNC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1464311,25,5
0.854,COC(=O)c1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895446,25,5
0.852,COC(=O)c1ccc2nc([C@@H](N)CNC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1531037,25,5
0.85,COC(=O)c1ccc2nc([C@@H](C)OC(=O)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_59569926,25,5
0.848,COC(=O)c1ccc2nc([C@@H](N)CCC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1532526,25,5
0.845,COC(=O)c1ccc2nc(CCNC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1637970,25,5
0.841,COC(=O)c1ccc2nc(CNCCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1733659,25,5
0.841,CN(CCO)Cc1nc2nsnc2c(=O)n1C1CN(CCO)C1,17327931_82601602_11862698,25,5
0.84,COC(=O)c1ccc2nc([C@@H](CO)NC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_158174,25,5
0.84,COC(=O)c1ccc2nc(C[C@H](N)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1709620,25,5
0.839,COC(=O)c1ccc2nc([C@@H](N)COC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1529574,25,5
0.839,COC(=O)c1ccc2nc(C[C@H](O)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_14585673,25,5
0.834,COC(=O)c1ccc2nc([C@H]3CNC[C@H]3CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_4203974,25,5
0.832,COC(=O)c1ccc2nc([C@@H](N)CC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1532556,25,5
0.832,COC(=O)c1ccc2nc(Cn3nnc(N)n3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_4294607,25,5
0.829,COC(=O)c1ccc2nc(C[C@H](N)C(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2516163,25,5
0.828,COC(=O)c1ccc2nc(CC[C@@H](N)C(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2560808,25,5
0.827,Cn1nnc(-n2c([C@@H](N)CCO)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_895146,25,5
0.826,COC(=O)c1ccc2nc(C(CN)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_114812654,25,5
0.82,COC(=O)c1ccc2nc([C@@H](N)COC(C)=O)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_895446,25,5
0.819,COC(=O)c1ccc2nc([C@@H](N)CCN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_52986906,25,5
0.818,CN(CCO)Cc1nc2nncnc2c(=O)n1C1CN(CCO)C1,39083028_82601602_11862698,25,5
0.816,COC(=O)c1ccc2nc(CCNC(=N)N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_901626,25,5
0.814,COC(=O)c1ccc2nc([C@]3(O)C[C@H](O)C3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1083812835,25,5
0.812,Cn1nnc2c(=O)n(C3CN(CCO)C3)c(CNCCO)nc21,95761717_82601602_1733659,25,5
0.811,COC(=O)c1ccc2nc(Cc3n[nH]c(=O)[nH]3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_19089113,25,5
0.81,COC(=O)c1ccc2nc(CC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_901948,25,5
0.81,COC(=O)c1ccc2nc([C@H](N)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1742215,25,5
0.81,COC(=O)c1ccc2nc(C[C@@H](O)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_14585674,25,5
0.809,COC(=O)c1ccc2nc(Cc3nnn[nH]3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_5178980,25,5
0.808,COC(=O)c1ccc2nc([C@@H](N)CN(C)C)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_19366520,25,5
0.808,COC(=O)c1ccc2nc(Cn3cnnn3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_967442,25,5
0.808,COC(=O)c1ccc2nc([C@@H](C)OC(=O)CO)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_59569926,25,5
0.808,COC(=O)c1ccc2nc(CNC(=N)N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895314,25,5
0.807,O=c1c2nsnc2nc(CNCCO)n1C1CN(CCO)C1,17327931_82601602_1733659,25,5
0.807,COc1ccc2nc(CNCCO)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1733659,25,5
0.807,CC(=O)Nc1ccc2nc(CCNC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,4640612_16954943_1637970,25,5
0.806,COC(=O)c1ccc2nc([C@@H](CN)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_12502811,25,5
0.806,COC(=O)c1ccc2nc(Cc3n[nH]c(=O)[nH]3)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_19089113,25,5
0.805,Cn1nnc(-n2c(Cc3n[nH]c(=O)[nH]3)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_19089113,25,5
0.803,COC(=O)c1ccc2nc(Cn3ncnn3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_31319659,25,5
0.802,COC(=O)c1ccc2nc(C[C@@H](O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_901811,25,5
0.802,O=c1c2nccnc2nc(CNCCO)n1C1CN(CCO)C1,967253_82601602_1733659,25,5
0.801,N[C@H](CO)c1nc2n[nH]nc2c(=O)n1-c1ncn(CCO)n1,4621099_19088805_895342,25,5
0.801,CC(=O)OC[C@@H](N)c1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_1747043,25,5
0.801,COC(=O)c1ccc2nc(CNC3=NCCN3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1592098,25,5
0.801,COC(=O)c1ccc2nc(C[C@@H](N)C(=O)OC)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2560988,25,5
0.801,CC(=O)OC[C@@H](N)c1nc2c(nnn2C)c(=O)n1C1CN(CCO)C1,95761717_82601602_1747043,25,5
0.8,COC(=O)c1ccc2nc([C@@H](C)NC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1605215,25,5
0.8,O=CNCc1nc2nonc2c(=O)n1-c1ncn(CCO)n1,967421_19088805_1733657,25,5
0.799,COC(=O)CNC(=O)Cn1c(CNC=O)nc2c(cnc3ncnn32)c1=O,14608640_2168344_1733657,25,5
0.799,CN(CCO)Cc1nc2nnn(C)c2c(=O)n1C1CN(CCO)C1,104643604_82601602_11862698,25,5
0.799,COc1ccc2nc([C@@H](N)CNC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1531037,25,5
0.799,O=c1c2cncnc2nc(CNCCO)n1C1CN(CCO)C1,967326_82601602_1733659,25,5
0.799,COC(=O)c1ccc2nc([C@@H](O)CCN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2019611,25,5
0.799,COC(=O)c1ccc2nc(CN(C)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_11862698,25,5
0.798,COC(=O)c1ccc2nc([C@@H](C)OC(=O)CO)n(C(=O)CO)c(=O)c2c1,14985552_4692578_59569926,25,5
0.797,COC(=O)c1ccc2nc([C@@H]3C[C@@H](N)CN3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_95831405,25,5
0.797,COc1ccc2nc([C@@H](N)CC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1532556,25,5
0.797,COC(=O)c1ccc2nc(Cn3cnnc3N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_227173267,25,5
0.797,COC(=O)c1ccc2nc(C[C@@H](N)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_4181821,25,5
0.797,COc1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_895446,25,5
0.797,N=C(N)NCCc1nc2nsnc2c(=O)n1-c1ncn(CCO)n1,17327931_19088805_901626,25,5
0.796,NC(=O)Cc1nc2nncnc2c(=O)n1-c1nnn(CC(=O)O)n1,39083028_4294607_901948,25,5
0.796,Cn1nnc(-n2c([C@@H](O)CCN)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_2019611,25,5
0.796,COC(=O)c1ccc2nc([C@H]3CNCC(=O)N3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_38540696,25,5
0.796,COc1cccc2c(=O)n(-c3ncn(CCO)n3)c(C(O)O)nc12,389612_19088805_6660936,25,5
0.796,COC(=O)CNC(=O)Cn1c(CNC=O)nc2c(cnc3nc(C)nn32)c1=O,49474298_2168344_1733657,25,5
0.795,COC(=O)c1ccc2nc(CNC(N)=O)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_1464311,25,5
0.794,COC(=O)c1ccc2nc([C@H](N)CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895342,25,5
0.794,Cn1nnc(-n2c([C@@H](N)CCN)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_52986906,25,5
0.794,COC(=O)[C@@H](N)Cc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_1709620,25,5
0.794,COC(=O)c1ccc2nc([C@H]3CNCCN3C)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_89223304,25,5
0.793,CC(=O)OC[C@@H](N)c1nc2cn(C)nc2c(=O)n1C1CN(CCO)C1,2534276_82601602_1747043,25,5
0.793,O=c1c2ncnnc2nc(CNCCO)n1C1CN(CCO)C1,39083028_82601602_1733659,25,5
0.792,COC(=O)c1ccc2nc(CN3CCNCC3)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_19735199,25,5
0.792,COC(=O)c1ccc2nc([C@@H](N)[C@H](C)O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1747072,25,5
0.792,CC(=O)Nc1ccc2nc([C@@H](N)COC(C)=O)n(-c3ncn(CCO)n3)c(=O)c2c1,4640612_19088805_895446,25,5
0.792,Cn1nnc2nc(CNCCO)n(C3CN(CCO)C3)c(=O)c21,104643604_82601602_1733659,25,5
0.792,CC(=O)OC[C@H](N)c1nc2ccc(C(=O)O)cc2c(=O)n1-c1nnn(C)n1,33494531_16954943_895446,25,5
0.791,COC(=O)c1ccc2nc([C@@H](O)CN)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2034711,25,5
0.791,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(-c3ncn(CCO)n3)c(=O)c2c1,4640612_19088805_2559503,25,5
0.791,O=CNCc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_1733657,25,5
0.791,CN(CCO)Cc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_11862698,25,5
0.79,NC(=O)Cc1nc2cncnc2c(=O)n1CCC(=O)NCC(=O)O,11804330_1575546_901948,25,5
0.79,COc1ccc2nc(CCNC(=O)CN)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_1637970,25,5
0.79,COC(=O)c1ccc2nc([C@@H]3CNC[C@@H]3CO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_4203971,25,5
0.79,COC(=O)c1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(CC(=O)O)n3)c(=O)c2c1,14985552_4294607_895446,25,5
0.79,Cn1nnc(-n2c(Cc3n[nH]c(=O)[nH]3)nc3ncc(C(=O)O)cc3c2=O)n1,4202689_16954943_19089113,25,5
0.79,COc1ccc2nc([C@@H](O)CCO)n(-c3nnn(C)n3)c(=O)c2c1,1715572_16954943_2559503,25,5
0.789,Cn1nnc(-n2c([C@@H](O)CCO)nc3ccc(C(=O)O)cc3c2=O)n1,33494531_16954943_2559503,25,5
0.789,NC(=O)Cc1nc2cnc(Cl)nc2c(=O)n1CCC(=O)NCC(=O)O,144544129_1575546_901948,25,5
0.789,CN(CCO)Cc1nc2nonc2c(=O)n1-c1ncn(CCO)n1,967421_19088805_11862698,25,5
0.789,COC(=O)[C@H](N)Cc1nc2nccnc2c(=O)n1-c1ncn(CCO)n1,967253_19088805_2560988,25,5
0.789,NC(=O)Cc1nc2nonc2c(=O)n1C1CN(CCO)C1,967421_82601602_901948,25,5
0.789,COC(=O)CNC(=O)Cn1c(CC(N)=O)nc2c(cnc3ncnn32)c1=O,14608640_2168344_901948,25,5
0.789,COC(=O)c1ccc2nc([C@@H](N)CNC(=N)N)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2384694,25,5
0.884,COC(=O)c1ccc2nc([C@@H](O)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_2559503,25,6
0.862,COC(=O)c1ccc2nc(CNC=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1733657,25,6
0.859,COC(=O)c1ccc2nc([C@@H](N)CCO)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895146,25,6
0.854,COC(=O)c1ccc2nc([C@@H](N)COC(C)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_895446,25,6
0.854,COC(=O)c1ccc2nc(CNC(N)=O)n(-c3nnn(C)n3)c(=O)c2c1,14985552_16954943_1464311,25,6
